巾	jīn	kerchief; towel; turban; KangXi radical number 50	巾 50.0	3	4	0040	2281
千	qiān	thousand; many, numerous; very; (Cant.) a cheater, swindler	十 24.1	3	2	0041	599
乞	qǐ	beg; request	乙 5.2	3	6	0042	2429
川	chuān	stream, river; flow; boil	巛 47.0	3	6	0043	1109
亿	yì	hundred million; many	人 9.1	3	5	0044	1057
个	gè	numerary adjunct, piece; single	丨 2.2	3	1	0045	12
夕	xī	evening, night, dusk; slanted	夕 36.0	3	5	0046	2003
久	jiǔ	long time (ago); time passage, grow late	丿 4.2	3	3	0047	637
么	me	interrogative particle; repetition of a tune small; tender	丿 4.2	3	1	0048	63
勺	sháo	spoon, ladle; unit of volume	勹 20.1	3	4	0049	3275
凡	fán	all, any, every; ordinary, common	几 16.1	3	6	0050	1013
丸	wán	small round object; pellet, pill	丶 3.2	3	6	0051	2462
及	jí	extend; reach; come up to; and	又 29.2	3	4	0052	198
广	guǎng	wide, extensive, broad; rad. 53	广 53.0	3	4	0053	468
亡	wáng	death, destroyed; lose, perish	亠 8.1	3	6	0054	957
门	mén	gate, door, entrance, opening	門 169.0	3	2	0055	185
丫	yā	forked; bifurcation	丨 2.2	3		0056	2682
义	yì	right conduct, righteousness	丿 4.2	3	5	0057	208
之	zhī	marks preceding phrase as modifier of following phrase; it, him her, them; go to	丿 4.3	3	4	0058	44
尸	shī	corpse; to impersonate the dead; to preside; KangXi radical 44	尸 44.0	3	6	0059	1517
己	jǐ	self, oneself; personal, private; 6th heavenly stem	己 49.0	3	3	0060	162
已	yǐ	already; finished; stop	己 49.0	3	2	0061	117
巳	sì	the hours from 9 to 11; 6th terrestrial branch	己 49.0	3		0062	3381
弓	gōng	bow; curved, arched; KangXi radical number 57	弓 57.0	3		0063	2229
子	zi	offspring, child; fruit, seed of; 1st terrestrial branch	子 39.0	3	1	0064	37
卫	wèi	guard, protect, defend	乙 5.2	3	4	0065	669
也	yě	also; classical final particle of strong affirmation or identity	乙 5.2	3	2	0066	31
女	nǚ	woman, girl; feminine; rad. 38	女 38.0	3	1	0067	224
刃	rèn	edged tool, cutlery, knife edge	刀 18.1	3		0068	2700
飞	fēi	fly; go quickly; dart; high	乙 5.2	3	1	0069	347
习	xí	practice; flapping wings	冫 15.1	3	1	0070	676
叉	chā	crotch; fork, prong	又 29.1	3	5	0071	2231
马	mǎ	horse; surname; KangXi radical 187	馬 187.0	3	3	0072	276
乡	xiāng	country; rural; village	幺 52.0	3	5	0073	922
丰	fēng	abundant, lush, bountiful, plenty	丨 2.3	4	4	0074	1189
王	wáng	king, ruler; royal; surname	玉 96.0	4	5	0075	299
开	kāi	open; initiate, begin, start	廾 55.1	4	1	0076	94
井	jǐng	well, mine shaft, pit	二 7.2	4	6	0077	1431
天	tiān	sky, heaven; god, celestial	大 37.1	4	1	0078	78
夫	fū	man, male adult, husband; those	大 37.1	4	2	0079	377
元	yuán	first; dollar; origin; head	儿 10.2	4	3	0080	370
无	wú	negative, no, not; KangXi radical 71	无 71.0	4	4	0081	105
云	yún	say, speak; clouds	二 7.2	4	4	0082	692
专	zhuān	monopolize, take sole possession	一 1.3	4	4	0083	485
丐	gài	beggar; beg; give	一 1.3	4	6	0084	2606
扎	zhā	pull up; pierce; struggle free	手 64.1	4	6	0085	1411
艺	yì	art; talent, ability; craft	艸 140.1	4	4	0086	786
木	mù	tree; wood, lumber; wooden	木 75.0	4	5	0087	694
五	wǔ	five; surname	二 7.2	4	1	0088	279
支	zhī	disperse, pay; support; branch	支 65.0	4	4	0089	437
厅	tīng	hall, central room	厂 27.2	4	4	0090	1217
不	bù	no, not; un-; negative prefix	一 1.3	4	1	0091	4
犬	quǎn	dog; radical number 94	犬 94.0	4	6	0092	2649
太	tài	very, too, much; big; extreme	大 37.1	4	1	0093	240
区	qū	area, district, region, ward	匸 23.2	4	4	0094	265
历	lì	history; calendar	厂 27.2	4	3	0095	480
歹	dǎi	bad, vicious, depraved, wicked	歹 78.0	4	6	0096	2905
友	yǒu	friend, companion; fraternity	又 29.2	4	1	0097	594
尤	yóu	especially, particularly	尢 43.1	4	4	0098	1099
匹	pǐ	bolt of cloth; counter for horses	匸 23.2	4	5	0099	1908
车	chē	cart, vehicle; carry in cart	車 159.0	4	1	0100	361
巨	jù	large, great, enormous; chief	工 48.2	4	5	0101	913
牙	yá	tooth, molars, teeth; serrated	牙 92.0	4	3	0102	997
屯	tún	village, hamlet; camp; station	屮 45.1	4		0103	2864
戈	gē	halberd, spear, lance; rad. 62	戈 62.0	4		0104	1695
比	bǐ	to compare, liken; comparison; than	比 81.0	4	2	0105	199
互	hù	mutually, reciprocally	二 7.2	4	4	0106	819
切	qiè	cut, mince, slice, carve	刀 18.2	4	4	0107	337
瓦	wǎ	tile; earthenware pottery; girl	瓦 98.0	4	6	0108	1195
止	zhǐ	stop, halt, desist; detain	止 77.0	4	4	0109	596
少	shǎo	few, less, inadequate	小 42.1	4	1	0110	233
曰	yuē	say; KangXi radical 73	曰 73.0	4		0111	1656
日	rì	sun; day; daytime	日 72.0	4	2	0112	101
中	zhōng	central; center, middle; in the midst of; hit (target); attain	丨 2.3	4	1	0113	14
贝	bèi	sea shell; money, currency	貝 154.0	4	5	0114	1133
冈	gāng	ridge or crest of hill	冂 13.2	4		0115	2047
内	nèi	inside	入 11.2	4	4	0116	175
水	shuǐ	water, liquid, lotion, juice	水 85.0	4	1	0117	202
见	jiàn	see, observe, behold; perceive	見 147.0	4	1	0118	153
午	wǔ	noon; 7th terrestrial branch	十 24.2	4	1	0119	1004
牛	niú	cow, ox, bull; KangXi radical93	牛 93.0	4	2	0120	1018
手	shǒu	hand	手 64.0	4	2	0121	143
气	qì	steam, vapor; KangXi radical 84	气 84.0	4	1	0122	217
毛	máo	hair, fur, feathers; coarse	毛 82.0	4	4	0123	623
壬	rén	9th heavenly stem	士 33.1	4		0124	4029
升	shēng	arise, go up; hoist; advance	十 24.2	4	5	0125	837
夭	yāo	young, fresh-looking; die young	大 37.1	4		0126	3079
长	zhǎng	long; length; excel in; leader	長 168.0	4	2	0127	109
仁	rén	humaneness, benevolence, kindness	人 9.2	4	6	0128	1360
什	shén	file of ten soldiers; mixed, miscellaneous	人 9.2	4	1	0129	156
片	piàn	slice, splinter, strip; rad. 91	片 91.0	4	3	0130	455
仆	pū	fall forward; lie prostrate, prone; servant	人 9.2	4		0131	1812
化	huà	change, convert, reform; -ize	匕 21.2	4	3	0132	178
仇	chóu	enemy, hate, hatred, enmity	人 9.2	4	6	0133	1536
币	bì	currency, coins, legal tender	巾 50.1	4	5	0134	1188
仍	réng	yet, still, as ever; again; keep -ing, continuing	人 9.2	4	4	0135	601
仅	jǐn	only, merely, solely, just	人 9.2	4	4	0136	494
斤	jīn	a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69	斤 69.0	4	3	0137	1866
爪	zhǎo	claw, nail, talon; animal feet	爪 87.0	4		0138	2363
反	fǎn	reverse, opposite, contrary, anti	又 29.2	4	4	0139	237
介	jiè	forerunner, herald, harbinger; to lie between; sea shell; to wear armor	人 9.2	4	2	0140	831
父	fù	father; KangXi radical 88	父 88.0	4	4	0141	589
从	cóng	from, by, since, whence, through	人 9.2	4	2	0142	98
仑	lún	logical reasons, logical order	人 9.2	4		0143	2139
今	jīn	now, today, modern era	人 9.2	4	1	0144	336
凶	xiōng	culprit; murder; bad, sad	凵 17.2	4	6	0145	1378
分	fēn	divide; small unit of time etc.	刀 18.2	4	1	0146	79
乏	fá	lack; poor	丿 4.4	4	5	0147	1399
公	gōng	fair, equitable; public; duke	八 12.2	4	2	0148	115
仓	cāng	granary; berth; sea	人 9.2	4	6	0149	1882
月	yuè	moon; month; KangXi radical 74	月 74.0	4	1	0150	169
氏	shì	clan, family; mister	氏 83.0	4	6	0151	1500
勿	wù	must not, do not; without, never	勹 20.2	4	5	0152	2563
欠	qiàn	owe, lack, be deficient; KangXi radical number 76	欠 76.0	4	5	0153	1948
风	fēng	wind; air; manners, atmosphere	風 182.0	4	3	0154	348
丹	dān	cinnabar (native HgS); vermilion (artificial HgS used as pigment)	丶 3.3	4		0155	1280
匀	yún	equal	勹 20.2	4	5	0156	2692
乌	wū	crow, rook, raven; black, dark	丿 4.3	4	6	0157	1244
勾	gōu	hook, join, connect; entice	勹 20.2	4	6	0158	2034
凤	fèng	male phoenix; symbol of joy	几 16.2	4		0159	1504
六	liù	number six	八 12.2	4	1	0160	478
文	wén	literature, culture, writing	文 67.0	4	3	0161	148
亢	kàng	high, proud; violent, excessive; skilled; name	亠 8.2	4		0162	3268
方	fāng	a square, rectangle; a region; local	方 70.0	4	3	0163	60
火	huǒ	fire, flame; burn; anger, rage	火 86.0	4	2	0164	433
为	wèi	do, handle, govern, act; be	丶 3.3	4	2	0165	18
斗	dòu	Chinese peck; liquid measure	斗 68.0	4	5	0166	580
忆	yì	remember, reflect upon; memory	心 61.1	4	4	0167	1333
计	jì	plan, plot; strategem; scheme	言 149.2	4	4	0168	251
订	dìng	draw up agreement; arrange	言 149.2	4	5	0169	1176
户	hù	door; family	戶 63.0	4	4	0170	801
认	rèn	recognize, know, understand	言 149.2	4	1	0171	213
冗	rǒng	excessive; superfluous	冖 14.2	4		0172	3642
讥	jī	ridicule, jeer, mock; inspect	言 149.2	4	6	0173	2922
心	xīn	heart; mind, intelligence; soul	心 61.0	4	3	0174	90
尺	chǐ	ruler	尸 44.1	4	5	0175	1474
引	yǐn	to pull, draw out, attract; to stretch	弓 57.1	4	4	0176	479
丑	chǒu	clown, comedian; 2nd terrestrial branch	一 1.3	4	5	0177	1901
巴	bā	greatly desire, anxiously hope	己 49.1	4	5	0178	546
孔	kǒng	opening, hole, orifice; great	子 39.1	4	6	0179	1289
队	duì	team, group; army unit	阜 170.2	4	4	0180	268
办	bàn	manage, do, handle; deal with	力 19.2	4	3	0181	367
以	yǐ	by means of; thereby, therefore; consider as; in order to	人 9.3	4	2	0182	23
允	yǔn	to grant, to allow, to consent	儿 10.2	4	4	0183	1443
予	yǔ	I, me; to give	亅 6.3	4	6	0184	925
邓	dèng	surname	邑 163.2	4		0185	1614
劝	quàn	recommend, advise, urge	力 19.2	4	5	0186	1562
双	shuāng	set of two, pair, couple; both	又 29.2	4	3	0187	581
书	shū	book, letter, document; writings	丨 2.3	4	1	0188	282
幻	huàn	illusion, fantasy, mirage	幺 52.1	4	5	0189	1417
玉	yù	jade, precious stone, gem	玉 96.0	5	5	0190	1001
刊	kān	publication, periodical; publish	刀 18.3	5	6	0191	1241
未	wèi	not yet; 8th terrestrial branch	木 75.1	5	5	0192	385
末	mò	final, last, end; insignificant	木 75.1	5	3	0193	1164
示	shì	show, manifest; demonstrate	示 113.0	5	4	0194	425
击	jī	strike, hit, beat; attack, fight	凵 17.3	5	5	0195	395
打	dǎ	strike, hit, beat; fight; attack	手 64.2	5	1	0196	223
巧	qiǎo	skillful, ingenious, clever	工 48.2	5	4	0197	1219
正	zhèng	right, proper, correct	止 77.1	5	2	0198	129
扑	pū	pound, beat, strike; attack	手 64.2	5	6	0199	1509
卉	huì	general term for plants; myriads	十 24.3	5		0200	3341
扒	bā	scratch; dig up; crawl; crouch	手 64.2	5	6	0201	3121
功	gōng	achievement, merit, good result	力 19.3	5	4	0202	452
扔	rēng	throw, hurl; throw away, cast	手 64.2	5	4	0203	1905
去	qù	go away, leave, depart	厶 28.3	5	1	0204	64
甘	gān	sweetness; sweet, tasty	甘 99.0	5	6	0205	1408
世	shì	generation; world; era	一 1.4	5	3	0206	181
艾	ài	artemisia, mugwort; translit.	艸 140.2	5		0207	1291
古	gǔ	old, classic, ancient	口 30.2	5	5	0208	509
节	jié	knot, node, joint; section	艸 140.2	5	3	0209	514
本	běn	root, origin, source; basis	木 75.1	5	1	0210	92
术	shù	art, skill, special feat; method, technique	木 75.1	5	4	0211	328
可	kě	may, can, -able; possibly	口 30.2	5	2	0212	30
丙	bǐng	third; 3rd heavenly stem	一 1.4	5	6	0213	2645
左	zuǒ	left; east; unorthodox, improper	工 48.2	5	2	0214	782
厉	lì	whetstone; grind, sharpen; whet	厂 27.3	5	4	0215	1339
石	shí	stone, rock, mineral; rad. 112	石 112.0	5	5	0216	414
右	yòu	right; west; right-wing	口 30.2	5	2	0217	783
布	bù	cotton cloth, textiles, linen	巾 50.2	5	5	0218	380
夯	hāng	heavy load, burden; lift up	大 37.2	5		0219	4574
戊	wù	5th heavenly stem	戈 62.1	5		0220	3689
龙	lóng	dragon; symbolic of emperor	龍 212.0	5	5	0221	696
平	píng	flat, level, even; peaceful	干 51.2	5	3	0222	215
灭	miè	extinguish; wipe out, exterminate	火 86.1	5	6	0223	953
轧	yà	crush by weight; grind	車 159.1	5		0224	3269
东	dōng	east, eastern, eastward	一 1.4	5	1	0225	194
卡	kǎ	card, punch card; calorie	卜 25.3	5	3	0226	717
北	běi	north; northern; northward	匕 21.3	5	1	0227	315
占	zhàn	divine; observe; versify	卜 25.3	5	4	0228	737
凸	tū	protrude, bulge out, convex	凵 17.3	5	6	0229	2857
卢	lú	cottage, hut; surname; black	卜 25.3	5		0230	1711
业	yè	profession, business; GB radical 111	一 1.4	5	3	0231	130
旧	jiù	old, ancient; former, past	日 72.1	5	3	0232	915
帅	shuài	commander, commander-in-chief	巾 50.2	5	4	0233	1888
归	guī	return; return to, revert to	彐 58.2	5	5	0234	933
旦	dàn	dawn; morning; day	日 72.1	5	5	0235	1300
目	mù	eye; look, see; division, topic	目 109.0	5	3	0236	239
且	qiě	moreover, also (post-subject); about to, will soon (pre-verb)	一 1.4	5	3	0237	296
叶	yè	to harmonize, to rhyme; to unite; (borrowed for) leaf	口 30.2	5	4	0238	920
甲	jiǎ	armor, shell; fingernails; 1st heavenly stem	田 102.0	5	5	0239	1106
申	shēn	to state to a superior, report; extend; 9th terrestrial branch	田 102.0	5	4	0240	1110
叮	dīng	exhort or enjoin repeatedly	口 30.2	5	6	0241	2611
电	diàn	electricity; electric; lightning	曰 73.1	5	1	0242	230
号	hào	mark, sign; symbol; number	口 30.2	5	1	0243	487
田	tián	field, arable land, cultivated	田 102.0	5	6	0244	778
由	yóu	cause, reason; from	田 102.0	5	4	0245	136
只	zhǐ	only, just, simply	口 30.2	5	3	0246	97
叭	bā	trumpet	口 30.2	5	6	0247	2704
史	shǐ	history, chronicle, annals	口 30.2	5	3	0248	456
央	yāng	center, conclude, run out; beg	大 37.2	5	6	0249	800
兄	xiōng	elder brother	儿 10.3	5	5	0250	1089
叽	jī	sigh in disapproval; take small	口 30.2	5		0251	3198
叼	diāo	holding in mouth	口 30.2	5	6	0252	3703
叫	jiào	cry, shout; hail, greet, call	口 30.2	5	1	0253	387
叩	kòu	knock, ask; kowtow, bow	口 30.2	5		0254	2898
叨	dāo	talkative; quarrelous	口 30.2	5	6	0255	2844
另	lìng	another, separate, other	口 30.2	5	4	0256	489
叹	tàn	sigh, admire	口 30.2	5	6	0257	1299
冉	rǎn	tender; weak; proceed gradually	冂 13.3	5		0258	3070
皿	mǐn	shallow container; rad. no. 108	皿 108.0	5		0259	3763
凹	āo	concave, hollow, depressed; a pass, valley	凵 17.3	5	6	0260	2862
囚	qiú	prisoner, convict; confine	囗 31.2	5		0261	2594
四	sì	four	囗 31.2	5	1	0262	226
生	shēng	life, living, lifetime; birth	生 100.0	5	1	0263	34
矢	shǐ	arrow, dart; vow, swear	矢 111.0	5		0264	2811
失	shī	lose; make mistake, neglect	大 37.2	5	4	0265	375
乍	zhà	first time, for the first time	丿 4.4	5		0266	2914
禾	hé	grain still on stalk; rice plant	禾 115.0	5		0267	3587
丘	qiū	hill; elder; empty; a name	一 1.4	5	6	0268	1929
付	fù	give, deliver, pay, hand over; entrust	人 9.3	5	4	0269	820
仗	zhàng	rely upon; protector; fight; war, weaponry	人 9.3	5	6	0270	1712
代	dài	replace, replacement (of person or generation); era, generation	人 9.3	5	5	0271	174
仙	xiān	Taoist super-being, transcendent, immortal	人 9.3	5	6	0272	1255
们	men	adjunct pronoun indicate plural	人 9.3	5	1	0273	13
仪	yí	ceremony, rites gifts; admire	人 9.3	5	6	0274	1283
白	bái	white; pure, unblemished; bright	白 106.0	5	2	0275	286
仔	zǐ	small thing, child; young animal	人 9.3	5	4	0276	1572
他	tā	other, another; he, she, it	人 9.3	5	1	0277	10
斥	chì	to scold, upbraid, accuse, reproach	斤 69.1	5	6	0278	1857
瓜	guā	melon, gourd, cucumber; rad. 97	瓜 97.0	5	2	0279	1827
乎	hū	interrogative or exclamatory final particle	丿 4.4	5	3	0280	458
丛	cóng	bush, shrub; thicket; collection	一 1.4	5	6	0281	1678
令	lìng	order, command	人 9.3	5	5	0282	378
用	yòng	use, employ, apply, operate; use	用 101.0	5	3	0283	51
甩	shuǎi	throw away, discard	用 101.0	5	5	0284	2603
印	yìn	print, seal, stamp, chop, mark	卩 26.4	5	4	0285	640
尔	ěr	you; that, those; final particle	小 42.2	5	4	0286	220
乐	lè	happy, glad; enjoyable; music	丿 4.4	5	2	0287	619
句	jù	sentence	口 30.2	5	3	0288	707
匆	cōng	hastily, in haste, hurriedly	勹 20.3	5	5	0289	1622
册	cè	book, volume, register, list	冂 13.3	5	5	0290	1525
卯	mǎo	4th terrestrial branch; period from 5-7 a.m.	卩 26.3	5		0291	3926
犯	fàn	commit crime, violate; criminal	犬 94.2	5	6	0292	767
外	wài	out, outside, external; foreign	夕 36.2	5	2	0293	131
处	chù	place, locale; department	夂 34.2	5	4	0294	206
冬	dōng	winter, 11th lunar month	冫 15.3	5	3	0295	1384
鸟	niǎo	bird; KangXi radical 196	鳥 196.0	5	3	0296	1263
务	wù	affairs, business; must, should	夂 34.2	5	2	0297	245
包	bāo	wrap, pack, bundle; package	勹 20.3	5	3	0298	454
饥	jī	hunger, starving; hungry; a famine	食 184.2	5	6	0299	2173
主	zhǔ	master, chief owner; host; lord	丶 3.4	5	3	0300	87
市	shì	market, fair; city, town; trade	巾 50.2	5	3	0301	254
立	lì	stand; let stand; establish, set	立 117.0	5	5	0302	197
冯	féng	surname; gallop; by dint of	馬 187.2	5		0303	1719
玄	xuán	deep, profound, abstruse; KangXi radical 95	玄 95.0	5		0304	1717
闪	shǎn	flash; avoid, dodge, evade	門 169.2	5	5	0305	1113
兰	lán	orchid; elegant, graceful	八 12.3	5		0306	642
半	bàn	half	十 24.3	5	3	0307	513
汁	zhī	juice, liquor, fluid, sap, gravy, sauce	水 85.2	5	4	0308	2540
汇	huì	concourse; flow together, gather	水 85.2	5	5	0309	1187
头	tóu	head; top; chief, first; boss	大 37.2	5	3	0310	147
汉	hàn	Chinese people; Chinese language	水 85.2	5	1	0311	711
宁	níng	calm, peaceful, serene; healthy	宀 40.2	5	5	0312	1019
穴	xué	cave, den, hole; KangXi radical 116	穴 116.0	5	6	0313	1940
它	tā	it; other	宀 40.2	5	2	0314	107
讨	tǎo	to discuss; ask for, beg; demand; dun; marry	言 149.3	5	4	0315	833
写	xiě	write; draw, sketch; compose	冖 14.3	5	1	0316	448
让	ràng	allow, permit, yield, concede	言 149.3	5	2	0317	339
礼	lǐ	social custom; manners; courtesy	示 113.1	5	3	0318	926
训	xùn	teach, instruct; exegesis	言 149.3	5	5	0319	1022
议	yì	consult, talk over, discuss	言 149.3	5	3	0320	368
必	bì	surely, most certainly; must	心 61.1	5	3	0321	248
讯	xùn	inquire; ask; examine; reproach	言 149.3	5	6	0322	1238
记	jì	record; keep in mind, remember	言 149.3	5	3	0323	306
永	yǒng	long, perpetual, eternal, forever	水 85.1	5	4	0324	842
司	sī	take charge of, control, manage; officer	口 30.2	5	2	0325	278
尼	ní	Buddhist nun; transliteration	尸 44.2	5		0326	654
民	mín	people, subjects, citizens	氏 83.1	5	4	0327	113
弗	fú	not, negative	弓 57.2	5		0328	1257
弘	hóng	enlarge, expand; liberal, great	弓 57.2	5		0329	2619
出	chū	go out, send out; stand; produce	凵 17.3	5	1	0330	28
辽	liáo	distant, far	辵 162.2	5	6	0331	2086
奶	nǎi	grandma, milk	女 38.2	5	2	0332	1278
奴	nú	slave, servant	女 38.2	5	6	0333	1402
召	zhào	imperial decree; summon	口 30.2	5	5	0334	1214
加	jiā	add to, increase, augment	力 19.3	5	3	0335	166
皮	pí	skin, hide, fur, feather; outer	皮 107.0	5	3	0336	741
边	biān	edge, margin, side, border	辵 162.2	5	2	0337	316
孕	yùn	be pregnant, pregnancy	子 39.2	5	5	0338	2094
发	fā	issue, dispatch, send out; hair	又 29.3	5	3	0339	47
圣	shèng	holy, sacred	土 32.2	5	6	0340	960
对	duì	correct, right; facing, opposed	寸 41.2	5	1	0341	33
台	tái	platform; unit; term of address	口 30.2	5	4	0342	388
矛	máo	spear, lance; KangXi radical 110	矛 110.0	5	5	0343	1441
纠	jiū	investigate, inspect	糸 120.2	5	6	0344	1723
母	mǔ	mother; female elders; female	毋 80.1	5	4	0345	565
幼	yòu	infant, young child; immature	幺 52.2	5	5	0346	1577
丝	sī	silk; fine thread; wire; strings	一 1.4	5	5	0347	1026
邦	bāng	nation, country, state	邑 163.4	6		0348	1363
式	shì	style, system, formula, rule	弋 56.3	6	4	0349	303
迂	yū	doctrinaire, abstruse, unrealistic	辵 162.3	6		0350	2959
刑	xíng	punishment, penalty; law	刀 18.4	6	6	0351	1087
戎	róng	arms, armaments; military affair	戈 62.2	6		0352	3205
动	dòng	move, happen; movement, action	力 19.4	6	2	0353	73
扛	káng	carry on shoulders; lift	手 64.3	6	6	0354	2989
寺	sì	court, office; temple, monastery	寸 41.3	6	6	0355	1892
吉	jí	lucky, propitious, good	口 30.3	6	6	0356	856
扣	kòu	knock, strike, rap, tap; button	手 64.3	6	6	0357	1625
考	kǎo	examine, test; investigate	老 125.0	6	2	0358	495
托	tuō	to hold up with palm; to support, rely on	手 64.3	6	5	0359	799
老	lǎo	old, aged; experienced	老 125.0	6	1	0360	179
巩	gǒng	bind; firm, secure, strong	工 48.3	6	6	0361	2384
圾	jī	garbage, rubbish; shaking; danger	土 32.4	6	4	0362	2634
执	zhí	hold in hand; keep; carry out	手 64.3	6	5	0363	763
扩	kuò	expand, enlarge, stretch	手 64.3	6	5	0364	1051
扫	sǎo	sweep, clear away; exterminate	手 64.3	6	3	0365	1435
地	de	earth; soil, ground; region	土 32.3	6	3	0366	21
场	chǎng	open space, field, market	土 32.3	6	2	0367	249
扬	yáng	scatter, spread; praise	手 64.3	6	4	0368	1084
耳	ěr	ear; merely, only; handle	耳 128.0	6	3	0369	887
芋	yù	taro	艸 140.3	6		0370	4246
共	gòng	together with, all, total; to share	八 12.4	6	2	0371	330
芒	máng	Miscanthus sinensis	艸 140.3	6	6	0372	2251
亚	yà	Asia; second	一 1.5	6	4	0373	420
芝	zhī	a plant, cheese	艸 140.4	6		0374	2150
朽	xiǔ	decayed, rotten; rot, decay	木 75.2	6	6	0375	2544
朴	pǔ	simple, unadorned; sincere; surname; a tree	木 75.2	6	6	0376	2092
机	jī	desk; machine; moment	木 75.2	6	1	0377	111
权	quán	power, right, authority	木 75.2	6	5	0378	297
过	guò	pass, pass through, go across	辵 162.3	6	2	0379	46
臣	chén	minister, statesman, official	臣 131.0	6	6	0380	1138
吏	lì	government official, magistrate	口 30.3	6		0381	2311
再	zài	again, twice, re-	冂 13.4	6	1	0382	242
协	xié	be united; cooperate	十 24.4	6	6	0383	735
西	xī	west(ern); westward, occident	襾 146.0	6	1	0384	167
压	yā	press; oppress; crush; pressure	厂 27.4	6	4	0385	756
厌	yàn	dislike, detest, reject; satiate	厂 27.4	6	4	0386	1633
戌	xū	11th terrestrial branch	戈 62.2	6		0387	3921
在	zài	be at, in, on; consist in, rest	土 32.3	6	1	0388	6
百	bǎi	one hundred; numerous, many	白 106.1	6	2	0389	407
有	yǒu	have, own, possess; exist	月 74.2	6	1	0390	8
存	cún	exist, live, be; survive; remain	子 39.3	6	4	0391	384
而	ér	and; and then; and yet; but	而 126.0	6	3	0392	36
页	yè	page, sheet, leaf; rad. no. 181	頁 181.0	6	4	0393	1128
匠	jiàng	craftsman, artisan; workman	匚 22.4	6		0394	2110
夸	kuā	extravagant, luxurious; handsome	大 37.3	6	5	0395	1955
夺	duó	take by force, rob, snatch	大 37.3	6	6	0396	1199
灰	huī	ashes; dust; lime, mortar	火 86.2	6	5	0397	1311
达	dá	arrive at, reach; intelligent; smooth, slippery	辵 162.3	6	5	0398	289
列	liè	a line; to arrange in order, classify	刀 18.4	6	4	0399	500
死	sǐ	die; dead; death	歹 78.2	6	4	0400	317
成	chéng	completed, finished, fixed	戈 62.3	6	3	0401	59
夹	jiā	be wedged or inserted between	一 1.5	6	5	0402	1758
夷	yí	ancient barbarian tribes	大 37.3	6		0403	2337
轨	guǐ	track, rut, path	車 159.2	6	6	0404	1883
邪	xié	wrong, evil, depraved, vicious, perverse, heterodox	邑 163.4	6		0405	1539
尧	yáo	a legendary ancient emperor-sage	儿 10.4	6		0406	3264
划	huà	to row or paddle boat; to scratch	刀 18.4	6	4	0407	522
迈	mài	take a big stride; pass by	辵 162.3	6	6	0408	1698
毕	bì	end, finish, conclude; completed	比 81.2	6	4	0409	1093
至	zhì	reach, arrive; extremely, very	至 133.0	6	4	0410	267
此	cǐ	this, these; in this case, then	止 77.2	6	4	0411	116
